Invoice ID,Branch,City,Customer type,Gender,Product line,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,,,,,,,,,
750-67-8428,A,Lag,Member,F,HEALTH and Beauty,HEALTH and Beauty-750-67-8428,"N26,888.40",7,9410.94,197629.74,1/5/2019,13:08,   Epay,188218.8,4.761904762,"N9,410.94",9.1,,,,,,,,,
631-41-3108,A,Lag,Normal,M,Home and lifestyle,Home and lifestyle-631-41-3108,"N16,678.80",7,5837.58,122589.18,3/3/2019,13:23,Card,116751.6,4.761904762,"N5,837.58",7.4,,,,,,,,,
123-19-1176,A,Lag,Member,M,HEALTH and Beauty,HEALTH and Beauty-123-19-1176,"N20,959.20",8,8383.68,176057.28,1/27/2019,20:33,   Epay,167673.6,4.761904762,"N8,383.68",8.4,,,,,,,,,
373-73-7910,A,Lag,Normal,M,Sports and travel,Sports and travel-373-73-7910,"N31,071.60",7,10875.06,228376.26,2/8/2019,10:37,   Epay,217501.2,4.761904762,"N10,875.06",5.3,,,,,,,,,
355-53-5943,A,Lag,Member,F,Electronic accessories,Electronic accessories-355-53-5943,"N24,782.40",6,7434.72,156129.12,2/25/2019,14:36,   Epay,148694.4,4.761904762,"N7,434.72",5.8,,,,,,,,,
665-32-9167,A,Lagos,Member,F,HEALTH and Beauty,HEALTH and Beauty-665-32-9167,"N13,053.60",2,1305.36,27412.56,1/10/2019,17:15,Card,26107.2,4.761904762,"N1,305.36",7.2,,,,,,,,,
365-64-0515,A,Lag,Normal,F,Electronic accessories,Electronic accessories-365-64-0515,"N16,902.00",5,4225.5,88735.5,2/12/2019,10:25,   Epay,84510,4.761904762,"N4,225.50",7.1,,,,,,,,,
252-56-2699,A,Lag,Normal,M,Food and beverages,Food and beverages-252-56-2699,"N15,548.40",10,7774.2,163258.2,2/7/2019,16:48,   Epay,155484,4.761904762,"N7,774.20",8.2,,,,,,,,,
829-34-3910,A,Lagos,Normal,F,HEALTH and Beauty,HEALTH and Beauty-829-34-3910,"N25,696.80",10,12848.4,269816.4,3/29/2019,19:21,Cash,256968,4.761904762,"N12,848.40",5.7,,,,,,,,,
656-95-9349,A,Lagos,Member,F,HEALTH and Beauty,HEALTH and Beauty-656-95-9349,"N24,814.80",7,8685.18,182388.78,3/11/2019,11:03,Card,173703.6,4.761904762,"N8,685.18",4.6,,,,,,,,,
765-26-6951,A,Lagos,Normal,M,Sports and travel,Sports and travel-765-26-6951,"N26,139.60",6,7841.88,164679.48,1/1/2019,10:39,Card,156837.6,4.761904762,"N7,841.88",6.9,,,,,,,,,
329-62-1586,A,Lagos,Normal,M,Food and beverages,Food and beverages-329-62-1586,"N19,681.20",3,2952.18,61995.78,1/21/2019,18:00,Card,59043.6,4.761904762,"N2,952.18",8.6,,,,,,,,,
636-48-8204,A,Lagos,Normal,M,Electronic accessories,Electronic accessories-636-48-8204,"N12,441.60",5,3110.4,65318.4,2/17/2019,11:15,   Epay,62208,4.761904762,"N3,110.40",9.9,,,,,,,,,
549-59-1358,A,Lagos,Member,M,Sports and travel,Sports and travel-549-59-1358,"N31,906.80",3,4786.02,100506.42,3/2/2019,17:36,   Epay,95720.4,4.761904762,"N4,786.02",6,,,,,,,,,
227-03-5010,A,Lagos,Member,F,Home and lifestyle,Home and lifestyle-227-03-5010,"N18,932.40",8,7572.96,159032.16,3/22/2019,19:20,Card,151459.2,4.761904762,"N7,572.96",8.5,,,,,,,,,
189-17-4241,A,Lagos,Normal,F,Fashion accessories,Fashion accessories-189-17-4241,"N31,561.20",2,3156.12,66278.52,3/10/2019,12:17,Card,63122.4,4.761904762,"N3,156.12",7.7,,,,,,,,,
848-62-7243,A,Lagos,Normal,M,HEALTH and Beauty,HEALTH and Beauty-848-62-7243,"N8,960.40",9,4032.18,84675.78,3/15/2019,15:36,Cash,80643.6,4.761904762,"N4,032.18",7.4,,,,,,,,,
595-11-5460,A,Lagos,Normal,M,HEALTH and Beauty,HEALTH and Beauty-595-11-5460,"N34,768.80",2,3476.88,73014.48,3/15/2019,10:12,Card,69537.6,4.761904762,"N3,476.88",5.1,,,,,,,,,
129-29-8530,A,Lagos,Member,M,Sports and travel,Sports and travel-129-29-8530,"N22,543.20",5,5635.8,118351.8,3/10/2019,19:15,   Epay,112716,4.761904762,"N5,635.80",7,,,,,,,,,
272-65-1806,A,Lagos,Normal,F,Electronic accessories,Electronic accessories-272-65-1806,"N21,916.80",9,9862.56,207113.76,1/15/2019,17:17,   Epay,197251.2,4.761904762,"N9,862.56",4.7,,,,,,,,,
162-48-8011,A,Lagos,Member,F,Food and beverages,Food and beverages-162-48-8011,"N16,052.40",5,4013.1,84275.1,2/10/2019,15:10,Cash,80262,4.761904762,"N4,013.10",8.5,,,,,,,,,
106-35-6779,A,Lagos,Member,M,Home and lifestyle,Home and lifestyle-106-35-6779,"N15,962.40",2,1596.24,33521.04,3/27/2019,11:26,Cash,31924.8,4.761904762,"N1,596.24",5.8,,,,,,,,,
635-40-6220,A,Lagos,Normal,M,HEALTH and Beauty,HEALTH and Beauty-635-40-6220,"N32,256.00",8,12902.4,270950.4,2/7/2019,11:28,   Epay,258048,4.761904762,"N12,902.40",6.6,,,,,,,,,
817-48-8732,A,Lagos,Member,F,Home and lifestyle,Home and lifestyle-817-48-8732,"N26,046.00",10,13023,273483,1/20/2019,15:55,Cash,260460,4.761904762,"N13,023.00",5.4,,,,,,,,,
199-75-8169,A,Lagos,Member,M,Sports and travel,Sports and travel-199-75-8169,"N5,691.60",10,2845.8,59761.8,3/6/2019,12:27,Card,56916,4.761904762,"N2,845.80",8.6,,,,,,,,,
877-22-3308,A,Lagos,Member,M,HEALTH and Beauty,HEALTH and Beauty-877-22-3308,"N5,713.20",10,2856.6,59988.6,3/13/2019,16:40,Cash,57132,4.761904762,"N2,856.60",5.8,,,,,,,,,
232-11-3025,A,Lagos,Normal,M,Sports and travel,Sports and travel-232-11-3025,"N28,357.20",10,14178.6,297750.6,1/24/2019,10:04,Cash,283572,4.761904762,"N14,178.60",6.4,,,,,,,,,
382-03-4532,A,Lagos,Member,F,HEALTH and Beauty,HEALTH and Beauty-382-03-4532,"N6,598.80",1,329.94,6928.74,2/2/2019,18:50,Cash,6598.8,4.761904762,N329.94,4.3,,,,,,,,,
287-21-9091,A,Lagos,Normal,M,Home and lifestyle,Home and lifestyle-287-21-9091,"N26,881.20",9,12096.54,254027.34,1/22/2019,10:55,   Epay,241930.8,4.761904762,"N12,096.54",9.4,,,,,,,,,
381-20-0914,A,Lagos,Member,F,Fashion accessories,Fashion accessories-381-20-0914,"N7,203.60",9,3241.62,68074.02,1/12/2019,15:48,Card,64832.4,4.761904762,"N3,241.62",5.7,,,,,,,,,
633-44-8566,A,Lagos,Member,M,Food and beverages,Food and beverages-633-44-8566,"N17,776.80",7,6221.88,130659.48,3/27/2019,20:35,Card,124437.6,4.761904762,"N6,221.88",7.3,,,,,,,,,
504-35-8843,A,Lagos,Normal,M,Sports and travel,Sports and travel-504-35-8843,"N15,289.20",1,764.46,16053.66,1/2/2019,16:57,Cash,15289.2,4.761904762,N764.46,5.7,,,,,,,,,
