,Invoice ID,Customer type,Gender,Product line,Unit price (N),Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income (N),Rating,Rating Category
0,750-67-8428,Member,Female,Health and beauty,26888.4,7.0,9410.94,197629.74,2019-01-05,13:08,Epay,188218.8,4.761904762,9410.94,9.1,High
1,631-41-3108,Normal,Male,Home and lifestyle,16678.8,7.0,5837.58,122589.18,2019-03-03,13:23,Card,116751.6,4.761904762,5837.58,7.4,Medium
2,123-19-1176,Member,Male,Health and beauty,20959.2,8.0,8383.68,176057.28,2019-01-27,20:33,Epay,167673.6,4.761904762,8383.68,8.4,High
3,373-73-7910,Normal,Male,Sports and travel,31071.6,7.0,10875.06,228376.26,2019-02-08,10:37,Epay,217501.2,4.761904762,10875.06,5.3,Medium
4,355-53-5943,Member,Female,Electronic accessories,24782.4,6.0,7434.72,156129.12,2019-02-25,14:36,Epay,148694.4,4.761904762,7434.72,5.8,Medium
5,665-32-9167,Member,Female,Health and beauty,13053.6,2.0,1305.36,27412.56,2019-01-10,17:15,Card,26107.2,4.761904762,1305.36,7.2,Medium
6,365-64-0515,Normal,Female,Electronic accessories,16902.0,5.0,4225.5,88735.5,2019-02-12,10:25,Epay,84510.0,4.761904762,4225.5,7.1,Medium
7,252-56-2699,Normal,Male,Food and beverages,15548.4,10.0,7774.2,163258.2,2019-02-07,16:48,Epay,155484.0,4.761904762,7774.2,8.2,High
8,829-34-3910,Normal,Female,Health and beauty,25696.8,10.0,12848.4,269816.4,2019-03-29,19:21,Cash,256968.0,4.761904762,12848.4,5.7,Medium
9,656-95-9349,Member,Female,Health and beauty,24814.8,7.0,8685.18,182388.78,2019-03-11,11:03,Card,173703.6,4.761904762,8685.18,4.6,Low
10,765-26-6951,Normal,Male,Sports and travel,26139.6,6.0,7841.88,164679.48,2019-01-01,10:39,Card,156837.6,4.761904762,7841.88,6.9,Medium
11,329-62-1586,Normal,Male,Food and beverages,19681.2,3.0,2952.18,61995.78,2019-01-21,18:00,Card,59043.6,4.761904762,2952.18,8.6,High
12,636-48-8204,Normal,Male,Electronic accessories,12441.6,5.0,3110.4,65318.4,2019-02-17,11:15,Epay,62208.0,4.761904762,3110.4,9.9,High
13,549-59-1358,Member,Male,Sports and travel,31906.8,3.0,4786.02,100506.42,2019-03-02,17:36,Epay,95720.4,4.761904762,4786.02,6.0,Medium
14,227-03-5010,Member,Female,Home and lifestyle,18932.4,8.0,7572.96,159032.16,2019-03-22,19:20,Card,151459.2,4.761904762,7572.96,8.5,High
15,189-17-4241,Normal,Female,Fashion accessories,31561.2,2.0,3156.12,66278.52,2019-03-10,12:17,Card,63122.4,4.761904762,3156.12,7.7,Medium
16,848-62-7243,Normal,Male,Health and beauty,8960.4,9.0,4032.18,84675.78,2019-03-15,15:36,Cash,80643.6,4.761904762,4032.18,7.4,Medium
17,595-11-5460,Normal,Male,Health and beauty,34768.8,2.0,3476.88,73014.48,2019-03-15,10:12,Card,69537.6,4.761904762,3476.88,5.1,Medium
18,129-29-8530,Member,Male,Sports and travel,22543.2,5.0,5635.8,118351.8,2019-03-10,19:15,Epay,112716.0,4.761904762,5635.8,7.0,Medium
19,272-65-1806,Normal,Female,Electronic accessories,21916.8,9.0,9862.56,207113.76,2019-01-15,17:17,Epay,197251.2,4.761904762,9862.56,4.7,Low
20,162-48-8011,Member,Female,Food and beverages,16052.4,5.0,4013.1,84275.1,2019-02-10,15:10,Cash,80262.0,4.761904762,4013.1,8.5,High
21,106-35-6779,Member,Male,Home and lifestyle,15962.4,2.0,1596.24,33521.04,2019-03-27,11:26,Cash,31924.8,4.761904762,1596.24,5.8,Medium
22,635-40-6220,Normal,Male,Health and beauty,32256.0,8.0,12902.4,270950.4,2019-02-07,11:28,Epay,258048.0,4.761904762,12902.4,6.6,Medium
23,817-48-8732,Member,Female,Home and lifestyle,26046.0,10.0,13023.0,273483.0,2019-01-20,15:55,Cash,260460.0,4.761904762,13023.0,5.4,Medium
24,199-75-8169,Member,Male,Sports and travel,5691.6,10.0,2845.8,59761.8,2019-03-06,12:27,Card,56916.0,4.761904762,2845.8,8.6,High
25,877-22-3308,Member,Male,Health and beauty,5713.2,10.0,2856.6,59988.6,2019-03-13,16:40,Cash,57132.0,4.761904762,2856.6,5.8,Medium
26,232-11-3025,Normal,Male,Sports and travel,28357.2,10.0,14178.6,297750.6,2019-01-24,10:04,Cash,283572.0,4.761904762,14178.6,6.4,Medium
27,382-03-4532,Member,Female,Health and beauty,6598.8,1.0,329.94,6928.74,2019-02-02,18:50,Cash,6598.8,4.761904762,329.94,4.3,Low
28,287-21-9091,Normal,Male,Home and lifestyle,26881.2,9.0,12096.54,254027.34,2019-01-22,10:55,Epay,241930.8,4.761904762,12096.54,9.4,High
29,381-20-0914,Member,Female,Fashion accessories,7203.6,9.0,3241.62,68074.02,2019-01-12,15:48,Card,64832.4,4.761904762,3241.62,5.7,Medium
30,633-44-8566,Member,Male,Food and beverages,17776.8,7.0,6221.88,130659.48,2019-03-27,20:35,Card,124437.6,4.761904762,6221.88,7.3,Medium
31,504-35-8843,Normal,Male,Sports and travel,15289.2,1.0,764.46,16053.66,2019-01-02,16:57,Cash,15289.2,4.761904762,764.46,5.7,Medium
32,873-51-0671,Member,Female,Sports and travel,7912.8,7.0,2769.48,58159.08,2019-01-10,16:42,Epay,55389.6,4.761904762,2769.48,5.1,Medium
33,594-34-4444,Normal,Male,Electronic accessories,34977.6,1.0,1748.88,36726.48,2019-03-08,20:38,Epay,34977.6,4.761904762,1748.88,7.2,Medium
34,865-92-6136,Normal,Male,Food and beverages,18990.0,3.0,2848.5,59818.5,2019-03-23,10:16,Epay,56970.0,4.761904762,2848.5,9.3,High
35,212-62-1842,Normal,Male,Food and beverages,20973.6,6.0,6292.08,132133.68,2019-03-28,16:44,Cash,125841.6,4.761904762,6292.08,9.9,High
36,704-48-3927,Member,Male,Electronic accessories,31921.2,10.0,15960.6,335172.6,2019-01-12,14:50,Epay,319212.0,4.761904762,15960.6,7.3,Medium
37,630-74-5166,Normal,Male,Sports and travel,22366.8,6.0,6710.04,140910.84,2019-03-22,20:19,Cash,134200.8,4.761904762,6710.04,7.4,Medium
38,645-44-1170,Member,Male,Home and lifestyle,20905.2,9.0,9407.34,197554.14,2019-01-19,20:07,Epay,188146.8,4.761904762,9407.34,4.3,Low
39,642-32-2990,Normal,Female,Food and beverages,3945.6,10.0,1972.8,41428.8,2019-02-02,20:48,Epay,39456.0,4.761904762,1972.8,6.0,Medium
40,638-60-7125,Normal,Female,Electronic accessories,35841.6,8.0,14336.64,301069.44,2019-02-14,17:03,Card,286732.8,4.761904762,14336.64,5.2,Medium
41,668-90-8900,Normal,Female,Home and lifestyle,33728.4,7.0,11804.94,247903.74,2019-03-10,18:44,Card,236098.8,4.761904762,11804.94,4.5,Low
42,870-54-3162,Normal,Female,Sports and travel,11610.0,5.0,2902.5,60952.5,2019-01-27,13:26,Cash,58050.0,4.761904762,2902.5,9.0,High
43,802-70-5316,Member,Female,Sports and travel,33166.8,6.0,9950.04,208950.84,2019-03-06,20:34,Cash,199000.8,4.761904762,9950.04,8.3,High
44,700-81-1757,Normal,Female,Electronic accessories,9471.6,5.0,2367.9,49725.9,2019-01-18,20:59,Card,47358.0,4.761904762,2367.9,8.8,High
45,354-39-5160,Member,Female,Home and lifestyle,12391.2,6.0,3717.36,78064.56,2019-02-18,15:39,Cash,74347.2,4.761904762,3717.36,9.8,High
46,575-30-8091,Normal,Male,Sports and travel,26100.0,8.0,10440.0,219240.0,2019-03-16,19:25,Epay,208800.0,4.761904762,10440.0,9.2,High
47,239-10-7476,Normal,Female,Home and lifestyle,28062.0,6.0,8418.6,176790.6,2019-01-21,16:37,Epay,168372.0,4.761904762,8418.6,8.0,High
48,685-64-1609,Member,Female,Fashion accessories,10850.4,10.0,5425.2,113929.2,2019-02-10,12:28,Epay,108504.0,4.761904762,5425.2,9.2,High
49,238-49-0436,Normal,Male,Health and beauty,11685.6,8.0,4674.24,98159.04,2019-03-27,13:48,Card,93484.8,4.761904762,4674.24,4.9,Low
50,746-94-0204,Normal,Male,Fashion accessories,29966.4,9.0,13484.88,283182.48,2019-01-29,11:56,Card,269697.6,4.761904762,13484.88,7.4,Medium
51,782-95-9291,Member,Male,Food and beverages,33224.4,5.0,8306.1,174428.1,2019-02-20,15:55,Card,166122.0,4.761904762,8306.1,9.0,High
52,275-28-0149,Normal,Male,Sports and travel,22928.4,1.0,1146.42,24074.82,2019-02-25,16:21,Cash,22928.4,4.761904762,1146.42,6.0,Medium
53,101-17-6199,Normal,Male,Food and beverages,16484.4,7.0,5769.54,121160.34,2019-03-13,19:44,Card,115390.8,4.761904762,5769.54,7.0,Medium
54,687-47-8271,Normal,Male,Fashion accessories,35632.8,10.0,17816.4,374144.4,2019-02-08,16:20,Card,356328.0,4.761904762,17816.4,8.7,High
55,796-32-9050,Normal,Male,Food and beverages,18460.8,6.0,5538.24,116303.04,2019-01-19,16:31,Cash,110764.8,4.761904762,5538.24,6.5,Medium
56,105-31-1824,Member,Male,Sports and travel,25027.2,7.0,8759.52,183949.92,2019-02-01,15:10,Card,175190.4,4.761904762,8759.52,8.5,High
57,249-42-3782,Normal,Male,Health and beauty,25203.6,5.0,6300.9,132318.9,2019-01-03,11:36,Epay,126018.0,4.761904762,6300.9,5.5,Medium
58,827-26-2100,Member,Male,Home and lifestyle,12182.4,9.0,5482.08,115123.68,2019-03-21,16:21,Epay,109641.6,4.761904762,5482.08,8.8,High
59,175-54-2529,Member,Male,Food and beverages,7981.2,8.0,3192.48,67042.08,2019-03-03,17:01,Card,63849.6,4.761904762,3192.48,9.6,High
60,407-63-8975,Normal,Male,Food and beverages,26596.8,6.0,7979.04,167559.84,2019-03-23,19:16,Epay,159580.8,4.761904762,7979.04,4.4,Low
61,851-28-6367,Member,Male,Sports and travel,5580.0,10.0,2790.0,58590.0,2019-03-23,10:55,Epay,55800.0,4.761904762,2790.0,8.0,High
62,586-25-0848,Normal,Female,Sports and travel,4442.4,7.0,1554.84,32651.64,2019-03-04,11:19,Card,31096.8,4.761904762,1554.84,6.7,Medium
63,400-60-7251,Normal,Male,Home and lifestyle,26665.2,1.0,1333.26,27998.46,2019-02-10,12:50,Epay,26665.2,4.761904762,1333.26,9.9,High
64,831-07-6050,Normal,Male,Electronic accessories,11775.6,5.0,2943.9,61821.9,2019-03-19,11:30,Card,58878.0,4.761904762,2943.9,9.9,High
65,856-22-8149,Normal,Female,Home and lifestyle,9104.4,1.0,455.22,9559.62,2019-03-23,10:13,Epay,9104.4,4.761904762,455.22,6.1,Medium
66,749-24-1565,Normal,Female,Health and beauty,8290.8,9.0,3730.86,78348.06,2019-01-03,12:02,Epay,74617.2,4.761904762,3730.86,7.9,Medium
67,888-02-0338,Normal,Male,Electronic accessories,9442.8,9.0,4249.26,89234.46,2019-01-25,20:24,Epay,84985.2,4.761904762,4249.26,5.9,Medium
68,802-43-8934,Normal,Male,Home and lifestyle,6580.8,1.0,329.04,6909.84,2019-03-22,15:05,Card,6580.8,4.761904762,329.04,8.3,High
69,319-74-2561,Member,Female,Electronic accessories,34070.4,3.0,5110.56,107321.76,2019-02-21,16:55,Cash,102211.2,4.761904762,5110.56,5.5,Medium
70,213-72-6612,Normal,Male,Food and beverages,15570.0,2.0,1557.0,32697.0,2019-03-20,15:56,Cash,31140.0,4.761904762,1557.0,6.2,Medium
71,721-86-6247,Normal,Female,Home and lifestyle,22831.2,8.0,9132.48,191782.08,2019-03-11,12:55,Epay,182649.6,4.761904762,9132.48,7.4,Medium
72,157-13-5295,Member,Male,Health and beauty,18698.4,10.0,9349.2,196333.2,2019-03-09,18:24,Epay,186984.0,4.761904762,9349.2,6.5,Medium
73,645-78-8093,Normal,Female,Sports and travel,33530.4,2.0,3353.04,70413.84,2019-01-20,18:09,Epay,67060.8,4.761904762,3353.04,4.1,Low
74,478-06-7835,Normal,Male,Fashion accessories,32288.4,1.0,1614.42,33902.82,2019-01-11,11:20,Epay,32288.4,4.761904762,1614.42,4.9,Low
75,540-11-4336,Normal,Male,Food and beverages,8978.4,9.0,4040.28,84845.88,2019-01-11,16:49,Card,80805.6,4.761904762,4040.28,5.6,Medium
76,448-81-5016,Normal,Male,Health and beauty,21517.2,2.0,2151.72,45186.12,2019-03-11,12:01,Card,43034.4,4.761904762,2151.72,5.8,Medium
77,217-58-1179,Member,Male,Home and lifestyle,22554.0,4.0,4510.8,94726.8,2019-01-05,11:25,Cash,90216.0,4.761904762,4510.8,4.2,Low
78,530-90-9855,Member,Male,Home and lifestyle,17132.4,8.0,6852.96,143912.16,2019-01-01,14:47,Cash,137059.2,4.761904762,6852.96,5.7,Medium
79,604-70-6476,Member,Male,Fashion accessories,6458.4,5.0,1614.6,33906.6,2019-01-23,14:04,Epay,32292.0,4.761904762,1614.6,6.8,Medium
80,799-71-1548,Member,Male,Electronic accessories,27979.2,4.0,5595.84,117512.64,2019-01-07,16:11,Card,111916.8,4.761904762,5595.84,8.8,High
81,290-68-2984,Normal,Male,Home and lifestyle,8550.0,4.0,1710.0,35910.0,2019-03-16,11:22,Cash,34200.0,4.761904762,1710.0,5.2,Medium
82,704-11-6354,Member,Male,Home and lifestyle,21204.0,8.0,8481.6,178113.6,2019-01-06,11:23,Cash,169632.0,4.761904762,8481.6,8.9,High
83,366-93-0948,Member,Male,Electronic accessories,23886.0,1.0,1194.3,25080.3,2019-01-31,10:46,Card,23886.0,4.761904762,1194.3,9.7,High
84,729-09-9681,Member,Male,Home and lifestyle,9327.6,6.0,2798.28,58763.88,2019-02-05,10:16,Epay,55965.6,4.761904762,2798.28,8.7,High
85,151-16-1484,Member,Male,Electronic accessories,11610.0,4.0,2322.0,48762.0,2019-02-13,12:38,Epay,46440.0,4.761904762,2322.0,6.5,Medium
86,850-41-9669,Normal,Female,Electronic accessories,27021.6,9.0,12159.72,255354.12,2019-03-19,13:25,Epay,243194.4,4.761904762,12159.72,6.2,Medium
87,447-15-7839,Member,Female,Sports and travel,8006.4,10.0,4003.2,84067.2,2019-02-09,11:00,Cash,80064.0,4.761904762,4003.2,4.2,Low
88,253-12-6086,Member,Female,Sports and travel,35424.0,7.0,12398.4,260366.4,2019-03-12,12:43,Card,247968.0,4.761904762,12398.4,8.7,High
89,144-51-6085,Member,Male,Home and lifestyle,25466.4,4.0,5093.28,106958.88,2019-01-05,16:05,Card,101865.6,4.761904762,5093.28,4.4,Low
90,731-14-2199,Member,Female,Home and lifestyle,12794.4,10.0,6397.2,134341.2,2019-01-04,13:34,Epay,127944.0,4.761904762,6397.2,7.0,Medium
91,126-54-1082,Member,Female,Home and lifestyle,7754.4,9.0,3489.48,73279.08,2019-01-07,11:44,Card,69789.6,4.761904762,3489.48,8.8,High
92,633-91-1052,Normal,Female,Home and lifestyle,4330.8,2.0,433.08,9094.68,2019-01-27,15:51,Cash,8661.6,4.761904762,433.08,5.1,Medium
93,828-61-5674,Member,Male,Sports and travel,15847.2,10.0,7923.6,166395.6,2019-03-20,19:57,Card,158472.0,4.761904762,7923.6,9.6,High
94,136-08-6195,Normal,Female,Home and lifestyle,25185.6,8.0,10074.24,211559.04,2019-02-15,17:01,Card,201484.8,4.761904762,10074.24,6.4,Medium
95,490-29-1201,Normal,Female,Sports and travel,5522.4,1.0,276.12,5798.52,2019-01-06,11:09,Cash,5522.4,4.761904762,276.12,6.5,Medium
96,667-92-0055,Member,Male,Health and beauty,35938.8,6.0,10781.64,226414.44,2019-03-04,15:02,Epay,215632.8,4.761904762,10781.64,8.5,High
97,565-17-3836,Member,Female,Health and beauty,17161.2,4.0,3432.24,72077.04,2019-03-12,14:21,Cash,68644.8,4.761904762,3432.24,9.1,High
98,430-60-3493,Member,Female,Home and lifestyle,34156.8,7.0,11954.88,251052.48,2019-02-03,14:38,Cash,239097.6,4.761904762,11954.88,4.2,Low
99,278-97-7759,Member,Female,Electronic accessories,22492.8,1.0,1124.64,23617.44,2019-02-18,20:29,Cash,22492.8,4.761904762,1124.64,4.7,Low
100,316-68-6352,Member,Female,Food and beverages,13089.6,2.0,1308.96,27488.16,2019-01-21,10:00,Cash,26179.2,4.761904762,1308.96,7.1,Medium
101,744-02-5987,Member,Male,Home and lifestyle,28216.8,6.0,8465.04,177765.84,2019-01-10,14:16,Epay,169300.8,4.761904762,8465.04,5.8,Medium
102,307-83-9164,Member,Male,Home and lifestyle,21603.6,4.0,4320.72,90735.12,2019-01-25,15:54,Cash,86414.4,4.761904762,4320.72,4.5,Low
103,439-54-7422,Normal,Female,Electronic accessories,18428.4,4.0,3685.68,77399.28,2019-03-18,17:15,Card,73713.6,4.761904762,3685.68,4.7,Low
104,411-77-0180,Member,Male,Electronic accessories,25992.0,7.0,9097.2,191041.2,2019-03-26,20:14,Epay,181944.0,4.761904762,9097.2,4.3,Low
105,286-01-5402,Normal,Female,Sports and travel,14482.8,7.0,5068.98,106448.58,2019-03-30,13:22,Cash,101379.6,4.761904762,5068.98,9.6,High
106,803-17-8013,Member,Female,Home and lifestyle,31964.4,8.0,12785.76,268500.96,2019-02-17,17:09,Cash,255715.2,4.761904762,12785.76,4.1,Low
107,512-98-1403,Member,Female,Electronic accessories,9532.8,3.0,1429.92,30028.32,2019-03-21,10:40,Epay,28598.4,4.761904762,1429.92,4.7,Low
108,848-42-2560,Normal,Female,Fashion accessories,29487.6,2.0,2948.76,61923.96,2019-03-05,17:43,Cash,58975.2,4.761904762,2948.76,7.8,Medium
109,870-76-1733,Member,Female,Food and beverages,5122.8,5.0,1280.7,26894.7,2019-02-01,10:08,Card,25614.0,4.761904762,1280.7,4.4,Low
110,423-64-4619,Member,Female,Health and beauty,5598.0,9.0,2519.1,52901.1,2019-03-07,13:12,Cash,50382.0,4.761904762,2519.1,5.0,Medium
111,372-94-8041,Normal,Male,Health and beauty,5493.6,6.0,1648.08,34609.68,2019-02-15,18:03,Epay,32961.6,4.761904762,1648.08,9.8,High
112,563-91-7120,Normal,Female,Fashion accessories,22237.2,5.0,5559.3,116745.3,2019-03-08,13:21,Cash,111186.0,4.761904762,5559.3,6.7,Medium
113,746-54-5508,Normal,Male,Home and lifestyle,7747.2,6.0,2324.16,48807.36,2019-01-17,12:48,Card,46483.2,4.761904762,2324.16,9.4,High
114,815-11-1168,Member,Male,Food and beverages,35920.8,5.0,8980.2,188584.2,2019-03-09,19:09,Cash,179604.0,4.761904762,8980.2,5.4,Medium
115,340-66-0321,Member,Male,Electronic accessories,13089.6,4.0,2617.92,54976.32,2019-03-25,13:07,Cash,52358.4,4.761904762,2617.92,7.6,Medium
116,634-97-8956,Normal,Male,Food and beverages,11844.0,3.0,1776.6,37308.6,2019-02-17,17:27,Card,35532.0,4.761904762,1776.6,9.1,High
117,566-71-1091,Normal,Male,Fashion accessories,27727.2,5.0,6931.8,145567.8,2019-02-03,15:59,Cash,138636.0,4.761904762,6931.8,5.5,Medium
118,442-48-3607,Member,Male,Food and beverages,8452.8,2.0,845.28,17750.88,2019-03-14,11:21,Card,16905.6,4.761904762,845.28,7.9,Medium
119,527-09-6272,Member,Female,Electronic accessories,10242.0,5.0,2560.5,53770.5,2019-03-21,10:17,Card,51210.0,4.761904762,2560.5,9.1,High
120,898-04-2717,Normal,Male,Fashion accessories,27504.0,9.0,12376.8,259912.8,2019-03-19,15:49,Epay,247536.0,4.761904762,12376.8,7.5,Medium
